Label,Back,Front
Doing My Best,https://raw.githubusercontent.com/marcmajcher/Toffet-Station-Cards/refs/heads/main/Toffet%20Station%20Cards_63.png,https://raw.githubusercontent.com/marcmajcher/Toffet-Station-Cards/refs/heads/main/Toffet%20Station%20Cards_64.png
Not Enough Time,https://raw.githubusercontent.com/marcmajcher/Toffet-Station-Cards/refs/heads/main/Toffet%20Station%20Cards_61.png,https://raw.githubusercontent.com/marcmajcher/Toffet-Station-Cards/refs/heads/main/Toffet%20Station%20Cards_62.png
Human Nature,https://raw.githubusercontent.com/marcmajcher/Toffet-Station-Cards/refs/heads/main/Toffet%20Station%20Cards_59.png,https://raw.githubusercontent.com/marcmajcher/Toffet-Station-Cards/refs/heads/main/Toffet%20Station%20Cards_60.png
Forty More Days,https://raw.githubusercontent.com/marcmajcher/Toffet-Station-Cards/refs/heads/main/Toffet%20Station%20Cards_57.png,https://raw.githubusercontent.com/marcmajcher/Toffet-Station-Cards/refs/heads/main/Toffet%20Station%20Cards_58.png
Too Small,https://raw.githubusercontent.com/marcmajcher/Toffet-Station-Cards/refs/heads/main/Toffet%20Station%20Cards_55.png,https://raw.githubusercontent.com/marcmajcher/Toffet-Station-Cards/refs/heads/main/Toffet%20Station%20Cards_56.png
My Eyes Burn,https://raw.githubusercontent.com/marcmajcher/Toffet-Station-Cards/refs/heads/main/Toffet%20Station%20Cards_53.png,https://raw.githubusercontent.com/marcmajcher/Toffet-Station-Cards/refs/heads/main/Toffet%20Station%20Cards_54.png
Idiot,https://raw.githubusercontent.com/marcmajcher/Toffet-Station-Cards/refs/heads/main/Toffet%20Station%20Cards_51.png,https://raw.githubusercontent.com/marcmajcher/Toffet-Station-Cards/refs/heads/main/Toffet%20Station%20Cards_52.png
Counting the Days,https://raw.githubusercontent.com/marcmajcher/Toffet-Station-Cards/refs/heads/main/Toffet%20Station%20Cards_49.png,https://raw.githubusercontent.com/marcmajcher/Toffet-Station-Cards/refs/heads/main/Toffet%20Station%20Cards_50.png
Imagination,https://raw.githubusercontent.com/marcmajcher/Toffet-Station-Cards/refs/heads/main/Toffet%20Station%20Cards_47.png,https://raw.githubusercontent.com/marcmajcher/Toffet-Station-Cards/refs/heads/main/Toffet%20Station%20Cards_48.png
Sixteen Minutes,https://raw.githubusercontent.com/marcmajcher/Toffet-Station-Cards/refs/heads/main/Toffet%20Station%20Cards_45.png,https://raw.githubusercontent.com/marcmajcher/Toffet-Station-Cards/refs/heads/main/Toffet%20Station%20Cards_46.png
The Endless,https://raw.githubusercontent.com/marcmajcher/Toffet-Station-Cards/refs/heads/main/Toffet%20Station%20Cards_43.png,https://raw.githubusercontent.com/marcmajcher/Toffet-Station-Cards/refs/heads/main/Toffet%20Station%20Cards_44.png
Close Quarters,https://raw.githubusercontent.com/marcmajcher/Toffet-Station-Cards/refs/heads/main/Toffet%20Station%20Cards_41.png,https://raw.githubusercontent.com/marcmajcher/Toffet-Station-Cards/refs/heads/main/Toffet%20Station%20Cards_42.png
