Label,Back,Front
Cozy,https://raw.githubusercontent.com/marcmajcher/Toffet-Station-Cards/refs/heads/main/Toffet%20Station%20Cards_127.png,https://raw.githubusercontent.com/marcmajcher/Toffet-Station-Cards/refs/heads/main/Toffet%20Station%20Cards_128.png
God Says,https://raw.githubusercontent.com/marcmajcher/Toffet-Station-Cards/refs/heads/main/Toffet%20Station%20Cards_125.png,https://raw.githubusercontent.com/marcmajcher/Toffet-Station-Cards/refs/heads/main/Toffet%20Station%20Cards_126.png
Saved,https://raw.githubusercontent.com/marcmajcher/Toffet-Station-Cards/refs/heads/main/Toffet%20Station%20Cards_123.png,https://raw.githubusercontent.com/marcmajcher/Toffet-Station-Cards/refs/heads/main/Toffet%20Station%20Cards_124.png
i can't do it,https://raw.githubusercontent.com/marcmajcher/Toffet-Station-Cards/refs/heads/main/Toffet%20Station%20Cards_121.png,https://raw.githubusercontent.com/marcmajcher/Toffet-Station-Cards/refs/heads/main/Toffet%20Station%20Cards_122.png
Losing It,https://raw.githubusercontent.com/marcmajcher/Toffet-Station-Cards/refs/heads/main/Toffet%20Station%20Cards_119.png,https://raw.githubusercontent.com/marcmajcher/Toffet-Station-Cards/refs/heads/main/Toffet%20Station%20Cards_120.png
Panic,https://raw.githubusercontent.com/marcmajcher/Toffet-Station-Cards/refs/heads/main/Toffet%20Station%20Cards_117.png,https://raw.githubusercontent.com/marcmajcher/Toffet-Station-Cards/refs/heads/main/Toffet%20Station%20Cards_118.png
self defense,https://raw.githubusercontent.com/marcmajcher/Toffet-Station-Cards/refs/heads/main/Toffet%20Station%20Cards_115.png,https://raw.githubusercontent.com/marcmajcher/Toffet-Station-Cards/refs/heads/main/Toffet%20Station%20Cards_116.png
Radiation,https://raw.githubusercontent.com/marcmajcher/Toffet-Station-Cards/refs/heads/main/Toffet%20Station%20Cards_113.png,https://raw.githubusercontent.com/marcmajcher/Toffet-Station-Cards/refs/heads/main/Toffet%20Station%20Cards_114.png
motherfucker,https://raw.githubusercontent.com/marcmajcher/Toffet-Station-Cards/refs/heads/main/Toffet%20Station%20Cards_111.png,https://raw.githubusercontent.com/marcmajcher/Toffet-Station-Cards/refs/heads/main/Toffet%20Station%20Cards_112.png
Floating Outside,https://raw.githubusercontent.com/marcmajcher/Toffet-Station-Cards/refs/heads/main/Toffet%20Station%20Cards_109.png,https://raw.githubusercontent.com/marcmajcher/Toffet-Station-Cards/refs/heads/main/Toffet%20Station%20Cards_110.png
breach/rupture,https://raw.githubusercontent.com/marcmajcher/Toffet-Station-Cards/refs/heads/main/Toffet%20Station%20Cards_107.png,https://raw.githubusercontent.com/marcmajcher/Toffet-Station-Cards/refs/heads/main/Toffet%20Station%20Cards_108.png
Know It All,https://raw.githubusercontent.com/marcmajcher/Toffet-Station-Cards/refs/heads/main/Toffet%20Station%20Cards_105.png,https://raw.githubusercontent.com/marcmajcher/Toffet-Station-Cards/refs/heads/main/Toffet%20Station%20Cards_106.png
Fire,https://raw.githubusercontent.com/marcmajcher/Toffet-Station-Cards/refs/heads/main/Toffet%20Station%20Cards_103.png,https://raw.githubusercontent.com/marcmajcher/Toffet-Station-Cards/refs/heads/main/Toffet%20Station%20Cards_104.png
The Signal,https://raw.githubusercontent.com/marcmajcher/Toffet-Station-Cards/refs/heads/main/Toffet%20Station%20Cards_101.png,https://raw.githubusercontent.com/marcmajcher/Toffet-Station-Cards/refs/heads/main/Toffet%20Station%20Cards_102.png
Patch It up,https://raw.githubusercontent.com/marcmajcher/Toffet-Station-Cards/refs/heads/main/Toffet%20Station%20Cards_99.png,https://raw.githubusercontent.com/marcmajcher/Toffet-Station-Cards/refs/heads/main/Toffet%20Station%20Cards_100.png
Wreck It,https://raw.githubusercontent.com/marcmajcher/Toffet-Station-Cards/refs/heads/main/Toffet%20Station%20Cards_97.png,https://raw.githubusercontent.com/marcmajcher/Toffet-Station-Cards/refs/heads/main/Toffet%20Station%20Cards_98.png
